ɂ́ɟɀʇɽʃ,Hîsyêô,Meaning,Verb,Noun,Modifier,Frequentative,Type,Kokanu,I,Origin,Origin IPA,Family,Word Ref,Group,/a/,/o/,/ə/,/u/,/ɪ/,/i/,/ɛ/,/e/,Syllabary,Actual IPA,Length,Rank
ɽıƨɟ,ônî,agentive verb noun particle,-,-,-,-,Particle,mu,ô,Yoruba oni-,/ō.nĩ́/,Niger-Congo,ônî,Grammar 201: Verb Particles I,0,1,0,0,0,1,0,0,ônî,/ˈo.ni/,3,02.21.06.00.00
ɽ̃ıc̃ı,ôntôn,to wear (clothing),to wear,clothing,wearable,,Verb,onton,ô,Yiddish אָנטאָן onton,/ˈɔnˌtɔn/,Germanic,ôntôn,Tools 101: Arts,0,2,0,0,0,0,0,0,ôntôn,/ˈon.ton/,5,02.21.12.02.21
ɽ̃ıɐʃ,ônsu,11 eleven,to be eleven,eleven,eleventh,,Numeral,,ô,Catalan onze,[ˈon.zə],Romance,ônsu,Mathematics 203: Intermediate Numbers I,0,1,1,0,0,0,0,0,ônsr,/ˈon.sʌ/,4,02.21.14.07.00
ɽıʓʇ,ôlê,experiencer/causee marker,-,-,-,-,Preposition,,ô,Malay oleh,/o.leh/,Austronesian,ôlê,Grammar 302: Advanced Grammar II,0,1,0,0,0,0,0,1,ôlê,/ˈo.le/,3,02.23.04.00.00
ɽ̆ɿ,et,collapser/amender particle,-,-,-,-,Particle,wa,e,-,-,Misc,et,Grammar 301: Advanced Grammar I,0,0,0,0,0,0,1,0,bt,/ˈɛt/,2,03.12.00.00.00
ɽɿɐ̃,eson,09 nine,to be nine,nine,ninth,,Numeral,saka,e,Yoruba ẹ̀sán,/'ɛ.sän/,Niger-Congo,eson,Mathematics 102: Basic Numbers II,1,0,0,0,0,0,1,0,bsan,/ˈɛ.sɑn/,4,03.14.01.21.00
ɽ́ɿʒ̃ɿ,eswen,more,to be more,moreness/increase,more/-er,,Determiner,mese,e,Quechua aswan,/ˈæswæn/,Romance,eswen,Mathematics 303: Relative Quantities II,0,0,0,0,0,0,2,0,bswbn,/ˈɛs.wɛn/,5,03.14.22.03.21
ɽ̃ɿ,en,than,-,-,-,-,Conjunction,so,e,Swedish än,/ɛnː/,Germanic,en,Grammar 202: Intermediate Grammar I,0,0,0,0,0,0,1,0,bn,/ˈɛn/,2,03.21.00.00.00
ɽɿʓɽȷ,eloi,boundary/border,to be a boundary/border,boundary/border,boundary/border-related,,Noun,,e,Tamil எல்லை ellai,/ɛllɐɪ̯/,Dravidian,eloi,Sociology 302: Politics I,1,0,0,0,1,0,1,0,blai,/ɛ.ˈlɑ.ɪ/,4,03.23.01.05.00
ɽɿʓɿɔʇ,elekê,cheek,to be a cheek,cheek,cheek-related,,Noun,,e,Yoruba ẹ̀rẹ̀kẹ́,/ɛ̀.ɾɛ̀.kɛ́/,Niger-Congo,elekê,Anatomy 203: Basic Anatomy III,0,0,0,0,0,0,2,1,blbkê,/ˈɛ.lɛ.ke/,5,03.23.03.10.04
ɽɿʓ̃ɿc̆ʇ,elentêt,opposite,to be opposite,oppositeness,opposite,,Adjective,opotu,e,Hungarian ellentét,[ˈɛlːɛnteːt],Uralic,elentêt,Evaluation 202: Intermediate Evaluations I,0,0,0,0,0,0,2,1,blbntêt,/ˈɛ.lɛn.tet/,7,03.23.03.21.12
ɽ͊ɿɤʄ,elfû,1000 thousand,to be a thousand,a thousand,thousandth,,Particle,pan,e,Swahili elfu,[ɛl.fu],Niger-Congo,elfû,Mathematics 204: Intermediate Numbers II,0,0,0,1,0,0,1,0,blfû,/ˈɛl.fu/,4,03.23.19.08.00
ɽʇɽ,êo,causative verb particle,-,-,-,-,Particle,lun,ê,-,-,Misc,êo,Grammar 302: Advanced Grammar II,1,0,0,0,0,0,0,1,êa,/ˈe.ɑ/,2,04.01.00.00.00
ɽʇc,êto,many,to be many/a lot,plethora/abundance,very/great,,Determiner,niju,ê,Paraguayan Guarani eta,[eta],Tupian,êto,Mathematics 201: Relative Quantities I,1,0,0,0,0,0,0,1,êta,/ˈe.tɑ/,3,04.12.01.00.00
ɽ̆ʇɐı,êtsô,state/quality/attribute,to be a state/condition,state/condition,state/condition-related,,Noun,ko,ê,Esperanto eco,[ˈet͡so],Misc,êtsô,Communication 201: Abstract Fundamentals III,0,1,0,0,0,0,0,1,êtsô,/ˈet.so/,4,04.12.14.02.00
ɽʇʋ͊ı,êbôl,shoulder,to be a shoulder,shoulder,shoulder-related,,Noun,,ê,French épaule,/e.pol/,Romance,êbôl,Anatomy 203: Basic Anatomy III,0,1,0,0,0,0,0,1,êbôl,/ˈe.bol/,4,04.18.02.23.00
ɽʇɤ̃ʃ,êfun,momentary (minute),to be momentary/brief,momentariness/briefness/minute (unit),momentary/brief,,Adjective,,ê,Dutch even,/ˈeː.və(n)/,Germanic,êfun,Mathematics 301: Relative Time II,0,0,1,0,0,0,0,1,êfrn,/ˈe.fʌn/,4,04.19.07.21.00
ɽʇƶʇ,êmê,vague/imprecise,to be vague/imprecise,vagueness/imprecision,vague/imprecise,-,Adjective,eme,ê,Wu 曖昧 e-me,/e̞³³ me̞⁴⁴/,Sino-Tibetan,êmê,Evaluation 202: Intermediate Evaluations I,0,0,0,0,0,0,0,2,êmê,/ˈe.me/,3,04.20.04.00.00
ɽ̃ʇɔıƶ̃ı,ênkômôn,face,to be a face,face,facial,-,Noun,,ê,Maasai enk-omóm,/ēnkōmón,Nilo-Saharan,ênkômôn,Anatomy 202: Basic Anatomy II,0,2,0,0,0,0,0,1,ênkômôn,/ˈen.ko.mon/,7,04.21.10.02.20
ɽ̃ʇʋʃɔ̃ʃ,ênbukun,belch/burp,to be a belch/burp,belch/burp,belch/burp-related,,Noun,,ê,Malayalam ഏമ്പക്കം ēmpakkaṁ,/eːmbɐkkɐm/,Dravidian,ênbukun,Anatomy 303: Anatomical Actions,0,0,2,0,0,0,0,1,ênbrkrn,/ˈen.bʌ.kʌn/,7,04.21.18.07.10
ɽʇʓʇɽ,êlêo,floating,to be floating,bouyancy,floating,,Adjective,,ê,Swahili -elea,/ɛ.le.ɑ/,Niger-Congo,êlêo,Phenomenology 303: Advanced Motion I,1,0,0,0,0,0,0,2,êlêa,/ˈe.le.ɑ/,4,04.23.04.01.00
ɽȷcȷɂ́,itihos,history,to be a history,history,history-related,,Noun,,i,Hindi इतिहास itihās,[ɪ.t̪ɪ.ɦäːs],Indo-Iranian,itihos,Sociology 302: Politics I,1,0,0,0,2,0,0,0,itihas,/ˈɪ.tɪ.hɑs/,6,05.12.05.09.01
ɽ́ȷcȷɂ͊,istihol,honor/glory,to be honor/glory,honor/glory,honor/glory-related,,Noun,,i,"Persian, Dari افتخار eftexâr",[ʔɪf.t̪ʰɪ.xɑ́ːɾ],Indo-Iranian,istihol,Sociology 303: Politics II,1,0,0,0,2,0,0,0,istihal,/ˈɪs.tɪ.hɑl/,7,05.14.12.05.09
ɽ́ȷʋ͊ʃɀ͊,isbulyol,to scatter (scatterable entity),to spread/scatter/diffuse,spreadable/scatterable/diffusable entity,spread/scattered/diffused,,Adjective,,i,Portuguese espalhar,/(i)ʃ.pɐˈʎaɾ/,Romance,isbulyol,Phenomenology 303: Advanced Motion I,1,0,1,0,1,0,0,0,isbrlyal,/ˈɪs.bʌl.jɑl/,8,05.14.18.07.23
ɽ̃ȷɤ͊ʃc̃ɟ,infultîn,rotating/spinning,to be rotating/spinning,rotation/spin,rotating/spinning,,Adjective,,i,Romanian învârtind,/ɨnvərtʲnd/,Romance,infultîn,Phenomenology 302: Intermediate Motion II,0,0,1,0,1,1,0,0,infrltîn,/ˈɪn.fʌl.tin/,8,05.21.19.07.23
ɽȷʒcʇ,iwotê,tall,to be tall/high,tallness/height,s,,Adjective,,i,Guaraní yvate,[ɨʋate],Tupian,iwotê,Anatomy 302: Anatomical Properties II,1,0,0,0,1,0,0,1,iwatê,/ɪ.ˈwɑ.te/,5,05.22.01.12.04
ɽȷʓ̑ȷ,ilik,predecessive marker (before),-,-,-,,Preposition,,i,Bashkir элек elek,[ɪ̞ˈlɪ̞k],Turkic,ilik,Mathematics 202: Relative Time I,0,0,0,0,2,0,0,0,ilik,/ˈɪ.lɪk/,4,05.23.05.10.00
